reaction,name,imbalance,classes,has_placeholder,localised_metabolites
ACCOAC,Acetyl-CoA carboxylase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,malcoa_c
LEUTL,leucine---tRNA ligase,"{'C': -18.0, 'H': -22.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 3.0}","C,H,N,O,P,charge",true,""
AO,amine oxidase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,hista_c
MHGS,hydroxymethylglutaryl-coa synthase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
PLPSA21829Z12Z1835Z9Z12Z,"phospholipase A2 (18:2(9Z,12Z)/18:3(5Z,12Z,15Z))",{'charge': 1.0},charge,false,""
SUCDHm,succinate dehydrogenase Complex II,"{'H': -2.0, 'charge': -2.0}","H,charge",false,""
ADSS,adenylosuccinate synthase,"{'H': 4.0, 'charge': 4.0}","H,charge",false,dcamp_c
ASPTL,aspartate---tRNA ligase,"{'C': -18.0, 'H': -21.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 4.0}","C,H,N,O,P,charge",true,""
PLDAGAT16018111Z18111Z1,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa16018111Z_c
TAGAH18111Z1819Z1835Z9Z12Z,"triacylglycerol acylhydrolase (18:1(11Z)/18:1(9Z)/18:3(5Z,9Z,12Z))",{'charge': 1.0},charge,false,""
MTAM,"5,10-Methenyltetrahydrofolate aminomethyltransferase","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
AACPS3,long-chain-fatty-acid-[acyl-carrier-protein] ligase (16:0),"{'H': -2.0, 'charge': 1.0}","H,charge",true,""
GMPSm,"GMP synthase, mitochondria","{'H': 2.0, 'charge': 2.0}","H,charge",false,""
PLDAGAT18111Z18111Z1601,phospholipid: diacylglycerol acyltransferase (16:0),{'charge': -2.0},charge,false,pa18111Z160_c
ACOA60OR,"Hexanoyl-CoA:(acceptor) 2,3-oxidoreductase","{'H': -2.0, 'charge': -2.0}","H,charge",false,""
DHROm,"dihydroorotate oxidase, mitochondria","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
AMID,acetamidase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
CDPDAGS1819Z160h,"CDP-diacylglycerol synthetase (18:1(9Z)/16:0), chloroplast","{'H': 1.0, 'charge': -1.0}","H,charge",false,""
THRTLm,"threonine---tRNA ligase, mitochondria","{'C': -18.0, 'H': -22.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 3.0}","C,H,N,O,P,charge",true,""
3OAS100,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),"{'C': -25.0, 'H': -40.0, 'N': -5.0, 'O': -15.0, 'P': -2.0, '*': -2.0, 'charge': 3.0, 'R': 1.0}","*,C,H,N,O,P,R,charge",true,""
GCPN,"Guanosine 3',5'-cyclic phosphate 5'-nucleotidohydrolase","{'H': -1.0, 'charge': -1.0}","H,charge",false,35cgmp_c
DAGK1801819Zh,"diacylglycerol kinase (18:0/18:1(9Z)), chloroplast",{'charge': 2.0},charge,false,"12dgr1801819Z_h,pa1801819Z_h"
HMGL,hydroxymethylglutaryl-coa lyase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
AACPS6,long-chain-fatty-acid-[acyl-carrier-protein] ligase (18:0),"{'H': 18.0, 'C': 11.0, 'N': 2.0, 'O': 7.0, 'P': 1.0}","C,H,N,O,P",true,""
PACPT,propionyladenylate:CoA propionyltransferase,{'charge': -1.0},charge,false,""
DAGK1819Z1819Z,diacylglycerol kinase (18:1(9Z)/18:1(9Z)),{'charge': 2.0},charge,false,""
ASNTL,asparagine---tRNA ligase,"{'C': -18.0, 'H': -22.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 3.0}","C,H,N,O,P,charge",true,asn__L_m
ALLTNtm,"Allantoin permease, mitochondrial","{'H': 1.0, 'charge': 1.0}","H,charge",false,""
PLDAGAT16018111Z18111Z2,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa18111Z18111Z_c
PPRGL,phosphoribosylamine---glycine ligase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
3OAS140,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),"{'C': -14.0, 'H': -20.0, 'O': -8.0, '*': -2.0, 'charge': 2.0, 'N': -3.0, 'P': -1.0, 'R': 1.0}","*,C,H,N,O,P,R,charge",true,""
3OAS80,3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0),"{'C': -3.0, 'O': -1.0, '*': -1.0, 'charge': 1.0, 'N': -1.0}","*,C,N,O,charge",true,""
PLDAGAT18111Z1819Z1819Z2,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1801819Z_c
PLPSD1819Z1835Z9Z12Z,"phospholipase D (18:1(9Z)/18:3(5Z,12Z,15Z))",{'charge': 2.0},charge,false,""
1AGPEAT1819Z1845Z9Z12Z15Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:1(9Z)/18:4(5Z,9Z,12Z,15Z))",{'charge': -4.0},charge,false,cacoa_c
PAPA18111Z1819Z,phosphatidate phosphatase (18:1(11Z)/18:1(9Z)),{'charge': -2.0},charge,false,pa18111Z1819Z_c
TAGAH1819Z1819Z1835Z9Z12Z,"triacylglycerol acylhydrolase (18:1(9Z)/18:1(9Z)/18:3(5Z,9Z,12Z))",{'charge': 1.0},charge,false,""
PLPSD1801835Z9Z12Z,"phospholipase D (18:0/18:3(5Z,12Z,15Z))",{'charge': 2.0},charge,false,""
TAGAH18111Z18111Z1835Z9Z12Z,"triacylglycerol acylhydrolase (18:1(11Z)/18:1(11Z)/18:3(5Z,9Z,12Z))",{'charge': 1.0},charge,false,""
METTL,methionine---tRNA ligase,"{'C': -18.0, 'H': -22.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 3.0}","C,H,N,O,P,charge",true,""
DHPD,dihydropyrimidinase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,cala_c
PLDAGAT18111Z18111Z18111Z2,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa18111Z18111Z_c
URCB,urea carboxylase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
PLPSD18111Z1845Z9Z12Z15Z,"phospholipase D (18:1(11Z)/18:4(5Z,9Z,12Z,15Z))",{'charge': 2.0},charge,false,""
papa1819z160Cv,phosphatidate phosphatase (18:1(9z)/16:0),{'charge': -2.0},charge,false,12dgr1819Z160_c
PLPSD18111Z1819Z,phospholipase D (18:1(11Z)/18:1(9Z)),{'charge': 2.0},charge,false,pa18111Z1819Z_c
EAR100x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0),"{'H': -20.0, 'charge': 1.0, 'C': -11.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, '*': -1.0, 'R': 1.0}","*,C,H,N,O,P,R,charge",true,""
PLDAGAT1819Z1819Z1601,phospholipid: diacylglycerol acyltransferase (16:0),{'charge': -2.0},charge,false,pa18111Z160_c
EAR100y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0),"{'H': -20.0, 'charge': 1.0, 'C': -11.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, '*': -1.0, 'R': 1.0}","*,C,H,N,O,P,R,charge",true,""
MCOATA,malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase,"{'H': 21.0, '*': 1.0, 'charge': -1.0, 'C': 14.0, 'N': 3.0, 'O': 8.0, 'P': 1.0}","*,C,H,N,O,P,charge",true,""
PLDAGAT1801819Z18111Z1,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa16018111Z_c
1AGPEAT1829Z12Z1835Z9Z12Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:2(9Z,12Z)/18:3(5Z,12Z,15Z))",{'charge': -4.0},charge,false,""
MCDC,malonyl-CoA decarboxylase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,malcoa_c
DAGK16018111Z,diacylglycerol kinase (16:0/18:1(11Z)),{'charge': 2.0},charge,false,pa16018111Z_c
3OAS120,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),"{'C': -3.0, 'O': -1.0, 'R': -1.0, 'charge': 1.0, 'N': -1.0}","C,N,O,R,charge",true,""
TAGAH1819Z18111Z1835Z9Z12Z,"triacylglycerol acylhydrolase (18:1(9Z)/18:1(11Z)/18:3(5Z,9Z,12Z))",{'charge': 1.0},charge,false,""
ANTPPT,N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
ADSSh,"adenylosuccinate synthase, chloroplast","{'H': 5.0, 'charge': 5.0}","H,charge",false,""
10FTHFGLULLm,10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming),{'charge': 2.0},charge,false,""
PAPA1819Z1619Zh,phosphatidate phosphatase (18:1(9Z)/16:1(9Z)),{'charge': -2.0},charge,false,pa1819Z1619Z_h
LLDH_ferr_m,L-lactate dehydrogenase (cytochrome),"{'C': -18.0, 'H': -40.0, 'N': -8.0, 'O': -4.0, 'S': -4.0, 'charge': 4.0}","C,H,N,O,S,charge",false,"ficytc_m,focytc_m"
DHR,dihydroorotase,"{'H': 2.0, 'charge': 2.0}","H,charge",false,""
VALTL,valine---tRNA ligase,"{'C': -18.0, 'H': -22.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 3.0}","C,H,N,O,P,charge",true,""
PLPSD1819Z1829Z12Z,"phospholipase D (18:1(9Z)/18:2(9Z,12Z))",{'charge': 2.0},charge,false,""
SEAHCYSHYD,Se-Adenosylselenohomocysteine hydrolase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,selhcys_c
ACOADAGAT1819Z1819Z1845Z9Z12Z15Z,"acyl-CoA: diacylglycerol acyltransferase (18:4(5Z,9Z,12Z,15Z))",{'charge': -4.0},charge,false,cacoa_c
MPMECY2,Mg-protoporphyrin IX monomethyl ester (oxidative) cyclase II,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
OPC8COAOR,OPC-8:0 CoA:oxygen 2-oxidoreductase,"{'H': 2.0, 'charge': 2.0}","H,charge",false,""
GMPS_glu_m,"GMP synthase (glutamine-hydrolysing), mitochondria","{'H': 2.0, 'charge': 2.0}","H,charge",false,""
GLYATx,Acetyl-CoA:glycine C-acetyltransferase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
GLUTL,glutamate---tRNA ligase,"{'C': -18.0, 'H': -22.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 3.0}","C,H,N,O,P,charge",true,""
PLDAGAT1601819Z18111Z1,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa16018111Z_c
PLDAGAT16018111Z1601,phospholipid: diacylglycerol acyltransferase (16:0),{'charge': -2.0},charge,false,pa18111Z160_c
SQDGS18111Z160,sulfolipid synthase (18:1(11Z)/16:0),{'charge': 1.0},charge,false,""
FA80ACPHi,fatty-acyl-ACP hydrolase (n-C8:0),"{'H': -17.0, 'O': -7.0, 'charge': 1.0, 'C': -11.0, 'N': -2.0, 'P': -1.0}","C,H,N,O,P,charge",true,""
ARDP,ADP-ribose diphosphatase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,""
FA1819ZACPH,oleoyl-[acyl-carrier-protein] hydrolase ((9Z)-n-C18:1),"{'H': 3.0, 'R': -1.0, '*': 1.0}","*,H,R",true,""
ACDO,acireductone dioxygenase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
ACOADAGAT16018111Z1835Z9Z12Z,"acyl-CoA: diacylglycerol acyltransferase (18:3(5Z,9Z,12Z))",{'charge': -4.0},charge,false,""
3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),"{'C': 11.0, 'H': 20.0, 'O': 7.0, 'R': -1.0, 'charge': -1.0, 'N': 2.0, 'P': 1.0, '*': 1.0}","*,C,H,N,O,P,R,charge",true,""
VALTLh,"valine---tRNA ligase, chloroplast","{'C': -18.0, 'H': -21.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 4.0}","C,H,N,O,P,charge",true,""
MOD_2mhop,"3-methyl-2-oxobutanoate dehydrogenase, 2-Methyl-1-hydroxypropyl-ThPP transforming",{'charge': -2.0},charge,false,2mhop_m
PLDAGAT1819Z1819Z1819Z1,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1601819Z_c
APAT,ATP:propanoate adenyltransferase,"{'H': 1.0, 'charge': 2.0}","H,charge",false,""
PLDAGAT1601819Z18111Z2,phospholipid: diacylglycerol acyltransferase (18:1(11Z)),{'charge': -2.0},charge,false,pa18111Z18111Z_c
GTHS,glutathione synthase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
SULO,sulfite oxidase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
HPPK,"ATP:2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine 6'-pyrophosphotransferase","{'H': -1.0, 'charge': -1.0}","H,charge",false,2ahhmd_c
SUCHMSSELCYSLh,"O-Succinyl-L-homoserine succinate-lyase (adding cysteine), chloroplast","{'H': -1.0, 'charge': -1.0}","H,charge",false,selcyst_h
ACOAD9m,"2-methylacyl-coa dehydrogenase, 2-Methylprop-2-enoyl-CoA forming","{'H': -2.0, 'charge': -2.0}","H,charge",false,""
ACSERL,"O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide), cytosol","{'H': 3.0, 'charge': 3.0}","H,charge",false,seln_c
PLDAGAT1801819Z1819Z2,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1801819Z_c
AGMIS,1-alpha-D-Galactosyl-myo-inositol:sucrose,"{'C': -18.0, 'H': -32.0, 'O': -16.0}","C,H,O",false,""
FA140ACPHi,fatty-acyl-ACP hydrolase (n-C14:0),{'H': 3.0},H,true,""
3OAR100,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),"{'R': -1.0, '*': 1.0}","*,R",true,""
papa181hCv,"phosphatidate phosphatase (18:1(11z)/18:1(11z)), chloroplast",{'charge': -2.0},charge,false,"12dgr18111z18111z_h,pa18111z18111z_h"
AMAOTh,adenosylmethionine-8-amino-7-oxononanoate transaminase,{'charge': -1.0},charge,false,""
3HAD181,3-hydroxyacyl-[acyl-carrier-protein] dehydratase ((11Z)-n-C18:1),"{'C': -11.0, 'H': -20.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, '*': -1.0, 'charge': 1.0, 'R': 1.0}","*,C,H,N,O,P,R,charge",true,""
SELCYSLY2,Selenocysteine reductase,"{'H': -3.0, 'charge': -3.0}","H,charge",false,seln_c
CDPDAGS18111Z160h,"CDP-diacylglycerol synthetase (18:1(11Z)/16:0), chloroplast","{'H': 1.0, 'charge': -1.0}","H,charge",false,""
MOD,3-methyl-2-oxobutanoate dehydrogenase,{'charge': 2.0},charge,false,2mhop_m
MACPACh,malonyl-[acyl-carrier protein]-methyl-ester:malonyl-[acyl-carrier protein] C-acyltransferase,"{'C': -14.0, 'H': -20.0, 'N': -3.0, 'O': -8.0, 'P': -1.0, '*': -1.0, 'charge': 2.0}","*,C,H,N,O,P,charge",true,""
FA161ACPHi,fatty-acyl-ACP hydrolase ((9Z)-n-C16:1),"{'H': -17.0, 'O': -7.0, 'charge': 1.0, 'C': -11.0, 'N': -2.0, 'P': -1.0}","C,H,N,O,P,charge",true,""
IDPm,inorganic pyrophosphatase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
D_LACDHm,D-lactate dehydrogenase (cytochrome),"{'C': -18.0, 'H': -40.0, 'N': -8.0, 'O': -4.0, 'S': -4.0, 'charge': 4.0}","C,H,N,O,S,charge",false,"ficytc_m,focytc_m"
LLDH_ferr_x,L-Lactate dehydrogenase (ferricytochrome),"{'C': -18.0, 'H': -40.0, 'N': -8.0, 'O': -4.0, 'S': -4.0, 'charge': 4.0}","C,H,N,O,S,charge",false,""
PAPA1801819Z,phosphatidate phosphatase (18:0/18:1(9Z)),{'charge': -2.0},charge,false,pa1801819Z_c
FGFTm,"N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide formyltransferase, mitochondria","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
PLDAGAT1601819Z1819Z1,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1601819Z_c
FA120ACPHi,fatty-acyl-ACP hydrolase (n-C12:0),{'H': 3.0},H,true,""
NITR_NO,nitrite reductase (NO-forming),"{'C': 9.0, 'H': 20.0, 'N': 4.0, 'O': 2.0, 'charge': -2.0, 'S': 2.0}","C,H,N,O,S,charge",false,""
G1SAT,glutamate-1-semialdehyde aminotransferase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,5aop_h
IDPh,Inorganic diphosphatase,"{'H': -1.0, 'charge': -1.0}","H,charge",false,""
1AGPEAT18111Z1845Z9Z12Z15Z,"1-acylglycerophosphoethanolamine O-acyltransferase (18:1(11Z)/18:4(5Z,9Z,12Z,15Z))",{'charge': -4.0},charge,false,cacoa_c
DAGK1819Z18111Z,diacylglycerol kinase (18:1(9Z)/18:1(11Z)),{'charge': 2.0},charge,false,""
SUCBZLh,O-succinylbenzoate-CoA ligase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
TMPPPh,thiamine-phosphate diphosphorylase (4-Methyl-5-(2-phosphoethyl)thiazole using),"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
PAPA18111Z1819Zh,"phosphatidate phosphatase (18:1(11Z)/18:1(9Z)), chloroplast",{'charge': -2.0},charge,false,"12dgr18111Z1819Z_h,pa18111Z1819Z_h"
ATAH_co2,allantoate amidinohydrolase (decarboxylating),{'charge': 1.0},charge,false,udg_m
NPH,NAD+ phosphohydrolase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
FNORh,ferredoxin---NADP+ reductase,{'charge': -1.0},charge,true,""
3OAS160,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0),"{'C': -3.0, 'N': -1.0, 'O': -1.0, '*': -1.0, 'charge': 1.0}","*,C,N,O,charge",true,""
AGPATCOA18111Z18111Z,1-octadec-11-enoyl-sn-glycerol 3-phosphate O-acyltransferase ((11Z)-C18:1) (CoA substrate),{'charge': 2.0},charge,false,pa18111Z18111Z_c
NOS,nitric-oxide synthase,"{'H': -2.0, 'charge': -2.0}","H,charge",false,""
ASPCT,"aspartate carbamoyltransferase, cytosol","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
FA181ACPHi,oleoyl-[acyl-carrier-protein] hydrolase ((11Z)-n-C18:1),"{'H': -17.0, 'O': -7.0, 'charge': 1.0, 'C': -11.0, 'N': -2.0, 'P': -1.0}","C,H,N,O,P,charge",true,""
PLDAGAT16018111Z1819Z3,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa18111Z1819Z_c
PLDAGAT18111Z18111Z1819Z1,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa1601819Z_c
AGPATCOA1801819Z,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase ((9Z)-C18:1) (CoA substrate),{'charge': 2.0},charge,false,pa1801819Z_c
PLPSD1801819Z,phospholipase D (18:0/18:1(9Z)),{'charge': 2.0},charge,false,pa1801819Z_c
DAGK1819Z1619Zh,diacylglycerol kinase (18:1(9Z)/16:1(9Z)),{'charge': 2.0},charge,false,pa1819Z1619Z_h
PLDAGAT18111Z1819Z1819Z3,phospholipid: diacylglycerol acyltransferase (18:1(9Z)),{'charge': -2.0},charge,false,pa18111Z1819Z_c
DAGK181,diacylglycerol kinase (18:1(11Z)/18:1(11Z)),{'charge': 2.0},charge,false,pa18111Z18111Z_c
GUAC,guanylate cyclase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,35cgmp_c
AFAT,ATP:FMN adenylyltransferase,"{'H': 2.0, 'charge': 2.0}","H,charge",false,""
HBZOPT,hydroxybenzoate octaprenyltransferase,"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
GLNTL,glutamine---tRNA ligase,"{'C': -18.0, 'H': -22.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 3.0}","C,H,N,O,P,charge",true,""
THRTL,threonine---tRNA ligase,"{'C': -18.0, 'H': -23.0, 'N': -6.0, 'O': -18.0, 'P': -3.0, 'charge': 2.0}","C,H,N,O,P,charge",true,""
ACOA100OR,"Decanoyl-CoA:(acceptor) 2,3-oxidoreductase","{'H': -2.0, 'charge': -2.0}","H,charge",false,""
PLDAGAT1601819Z1601,phospholipid: diacylglycerol acyltransferase (16:0),{'charge': -2.0},charge,false,pa18111Z160_c
QUINDHh,Quinate dehydrogenase (NADP),"{'H': 1.0, 'charge': 1.0}","H,charge",false,""
GDPMEP_c,"GDP-mannose 3,5 epimerase",{'charge': 2.0},charge,false,gdpgal_c
GDPGALPL_c,GDP-L-galactose phosphorylase,{'charge': -2.0},charge,false,gdpgal_c
GLACDHh,"L-galactono-1,4-lactone dehydrogenase","{'C': -18.0, 'H': -39.0, 'N': -8.0, 'O': -4.0, 'S': -4.0, 'charge': 5.0}","C,H,N,O,S,charge",false,""
ASCBt_u,"Ascorbate exchange, thylakoid","{'H': -1.0, 'charge': -1.0}","H,charge",false,""
GULACDHh,"L-gulono-1,4-lactone dehydrogenase","{'C': -18.0, 'H': -39.0, 'N': -8.0, 'O': -4.0, 'S': -4.0, 'charge': 5.0}","C,H,N,O,S,charge",false,""
METARHODOPSINHh,Metarhodopsin hydrolase (spontaneous),"{'charge': 2.0, '*': -1.0}","*,charge",true,""
RHODOPSINRTh,Rhodopsin retinyltransferase (spontaneous),"{'H': 10.0, 'charge': -2.0, 'C': 6.0, 'O': 2.0, 'N': 2.0, '*': 2.0}","*,C,H,N,O,charge",true,""
HEMEASm,Heme a synthase (mitochondria),"{'H': 1.0, 'charge': 5.0}","H,charge",false,""
HCIT,homocitrate synthase,{'charge': 1.0},charge,false,""
2ogtmhCv,2-oxoglutaramate amidohydrolase,{'charge': 1.0},charge,false,""
